PLEKHJ1,Plekhj1
MAPK1,Mapk1
CCDC146,Ccdc146
RIF1,Rif1
CYB5R4,Cyb5r4
PPHLN1,Pphln1
PSME2,Psme2
TRAF4,Traf4
SYS1,Sys1
WFDC10B,
PRDX5,Prdx5
OR10G4,Olfr980
DGAT2L6,Dgat2l6
PRMT5,Prmt5
ARMC12,Armc12
PPP1R3A,Ppp1r3a
CFAP44,Cfap44
MAGEB5,Mageb5
LUM,Lum
LOC101928592,
CD99,
ANKRD34B,Ankrd34b
RPL36AL,Rpl36al
DENR,Denr
TBXA2R,Tbxa2r
SMN2,Smn1
CDKN1B,Cdkn1b
NUMB,Numb
BPHL,Bphl
SIX4,Six4
LGALS3BP,Lgals3bp
NPAP1,
ZCCHC17,Zcchc17
MAU2,Mau2
HBG2,Hbb-y
HEATR1,Heatr1
ODR4,BC003331
LPXN,Lpxn
ZNF737,
FAM227B,Fam227b
NAE1,Nae1
OR5A2,
PCSK5,Pcsk5
IGSF23,Igsf23
APEX1,Apex1
GJA4,Gja4
MMD,Mmd
PLEKHN1,Plekhn1
ND2,mt-Nd2
NOTO,Noto
FSIP1,Fsip1
GRIK1,Grik1
IKZF2,Ikzf2
DHRS1,Dhrs1
DNAJC6,Dnajc6
FGL1,Fgl1
CWH18ORF25,
SAMSN1,Samsn1
MON2,Mon2
RHOU,Rhou
RPL35A,Rpl35a
MED13L,Med13l
SCRT2,Scrt2
IGSF6,Igsf6
CDRT15L2,
TSHB,Tshb
ST6GALNAC5,St6galnac5
ERCC3,Ercc3
CAST,Cast
OR4A47,Olfr1256
AHDC1,Ahdc1
SERPINB2,Serpinb2
CBY1,Cby1
CDKL2,Cdkl2
ANXA9,Anxa9
ALAS2,Alas2
KRT18,Krt18
CLEC2L,Clec2l
STH,
ZDHHC14,Zdhhc14
C14H8orf33,1110038F14Rik
C21H14orf28,Gm527
WNT9B,Wnt9b
TMEM11,Tmem11
BMP2K,Bmp2k
ZNF645,
LRRFIP1,Lrrfip1
GGPS1,Ggps1
C5H12orf55,
SLC7A13,Slc7a13
ARHGAP15,Arhgap15
SPECC1L,Specc1l
CELA2A,Cela2a
TNFSF11,Tnfsf11
FAM72D,
SERPINC1,Serpinc1
RFXANK,Rfxank
KCNC1,Kcnc1
PDE7A,Pde7a
ZNF624,Gm3055
PEX5L,Pex5l
FLVCR2,Flvcr2
EPPIN,Wfdc6a
CNPY2,Cnpy2
TMBIM6,Tmbim6
RPL36A,
ARPP19,Arpp19
SEL1L,Sel1l
EPS8L3,Eps8l3
SSX2IP,Ssx2ip
ANKS6,Anks6
RNASE7,
KRT4,Krt4
LOC101926980,
MTMR14,Mtmr14
ADAMTS10,Adamts10
DONSON,Donson
CLDN5,Cldn5
PBXIP1,Pbxip1
RUNX1,Runx1
TRIM26,Trim26
CSNK1G3,Csnk1g3
KAT6B,
ISOC2,Isoc2a
TMEM187,
PBLD,Pbld1
MIER1,Mier1
ACVR2B,Acvr2b
PCDHGC3,Pcdhgc3
LUC7L3,Luc7l3
CEP95,Cep95
MPL,Mpl
DSG4,Dsg4
HNRNPF,Hnrnpf
CYP7A1,Cyp7a1
UFD1,Ufd1
CCDC144A,
IPCEF1,Ipcef1
PLA2G2C,Pla2g2c
CD86,Cd86
COCH,Coch
ELMOD1,Elmod1
TMEM241,Tmem241
MS4A2,Ms4a2
MRPS26,Mrps26
HSFY2,Hsfy2
UTP3,Utp3
EEF2KMT,Eef2kmt
CLEC2A,Clec2f
POU6F2,
DUSP2,Dusp2
TRAIP,Traip
ZNF585B,
AATK,Aatk
TRIM7,Trim7
CPNE7,Cpne7
MRPL57,Mrpl57
TMEM219,Tmem219
SCN3A,Scn3a
MAST4,Mast4
OR5H1,
PNP,Pnp2
CCDC58,Ccdc58
C26H10orf131,
MRGPRF,Mrgprf
CREB1,Creb1
ABHD12B,Abhd12b
FAM173B,Fam173b
AADACL3,Aadacl3
MAN1A1,Man1a
FASLG,Fasl
HEMK1,Hemk1
GUCA1A,Guca1a
FAM204A,Fam204a
PPP1R14C,Ppp1r14c
TICAM1,Ticam1
CLHC1,Clhc1
MIER2,Mier2
